address,amount
stars1hzt0zxwmu8x9wtsqvhwx0vky3mxesz82lt33ev,1
stars1k4yykdjpfpeadxcqx9ywm73qfye6mv4ug0x7nw,1
stars1dkk0lmjdkp5e0mmy5qf4rsjgd0amcdfv8f8qs0,1
stars1zx3wcr0yxgc7dmu303932srldw8c69p8cztmet,1
stars1n40juvnr5jrzykuzazu2mdqqla6v69rq3dwkz4,1
stars1sz5nhstldtujfqfhdrranfyfpmh0yac6we2997,1
stars1jp32gpmj478emhmf7xg7ftwgrjmhdkywdk9gca,1
stars15g487aw7nu75zhrjqkxa7jy0kt8ca7l6ellkm8,1
stars1fk95hrxtxz48ncx9ak5zgqna8zp5f6eygzdk06,1
stars1y8yagn58hfdqqlfqytgvqv4puj72p8hh35ejrv,1
stars1mh9aqxcs778ndnehnu7h0mzuem8pkms0t07vhf,1
stars1tentvycdxl5v7f6xtlemdywf4j8mwq4elsg92r,1
stars18uyegc60smwy5yadw6ll99w8qz8600y9jty45s,1
stars134rftr7w2xkhcq9wagx282hzx8l3d6znpnp0hl,1
stars12mcpgjumqzuaysnjrj0dcdgxaeunnmer2adq64,1
stars10dmz3m9az53sa59fjmlea7wsjdme95yj0s5xm5,1
stars1ssgz49n7a6uc0xvxwmx59t60mgktnk23musf5v,1
stars1zue3u2ctq6l6vrucwg6qs0twyx9h36ntddx7gf,1
stars1nzkk8ejmk8f9vr9839z4tgj60np8hcr47amydj,1
stars1wmvvnk6gx6gkknvegslgrydmsx2khrdt8jz5xt,1
stars15htccjjneuc6cxl8se6swcrfg86n5n2r9p79fw,1
stars1fl067h986u5eyjat2zzq0svahplfy9waqfet7l,1
stars1px6avm9c7x06hm0tat0lrv4txqngwvr934rrmm,1
stars10gkr0xujp6ssggd6rfv9v60efh8m30ylyyz3qz,1
stars1n50lj4k8h0aruzyrfvtaltlvq34zhwrexn9lvt,1
stars16mequypt98tw2h4unfqrexx5zngl32949whc0k,1
stars1340wwpwvp703vrjj48zr2flmw802k2mcask5pa,1
stars1xp0qs6pkay2jssu58p8eap0epdhwx5mqrs5c3a,1
stars1w6n45fktc37gn2978450ug24fzs4fwwqlgxua7,1
stars19y0q6r3stt3k2t9aye2tnyx6kpyq5gnm4elhph,1
stars1aqytrjpnyfj674we793t9cnvtq55n22d7amrhr,1
stars1m8r8m76cqd333jrvg5wdc5vewlul6e2gvvq96w,1
