wallet,nfts held,10 or more,AKT distro
stars1gt9pr82zf7ape60ydx7cn46q2wc0axn6dx6ze3,2,0, 1.368 
stars183sqv5w0dut265x397j7srgqcyu0dg0tqd44sh,2,0, 1.368 
stars16rhy654emz3pv6ueajh2lqud4gja2xnuv87jql,2,0, 1.368 
stars1x3vpkxxwvw7un639yzeaftjlxl0n6qvjwss3xz,2,0, 1.368 
stars1ngwd47pfleskhvvthd8vsv0gfg7ulff2nfay73,2,0, 1.368 
stars12el7fvm4nehzvh8njeces3tht7nxp2mhycpdhj,2,0, 1.368 
stars10datnnlcjmrdl37ka0g4u83chvxpfafmr3459c,2,0, 1.368 
stars152e43mu7d40r868f5exqfd7nqju4nmp999le2z,2,0, 1.368 
stars1uehhju07geftd24dj7uwfr8ekjz0mg6d07tjpn,2,0, 1.368 
stars1l8ldylu4hpf97dwhdt98hcuk4c5ga6mwf2jxq6,2,0, 1.368 
stars18uekcazhharfnl27e67jw82xzt0thqm0ktdt95,2,0, 1.368 
stars1dkk0lmjdkp5e0mmy5qf4rsjgd0amcdfv8f8qs0,2,0, 1.368 
stars1m7kgefq85vkfvkwxpsd57muxk5fq06edsdqkg6,2,0, 1.368 
stars1rfv3z48w8u8hh744kkrl85rquhus2yzvtnjjvn,2,0, 1.368 
stars1x5cymrkukjws0c5s0lqdphr5cvv992u2f0gpem,2,0, 1.368 
stars1g300vjzjy9p76zu5y28e7rz967qrdxuzdkqa8f,2,0, 1.368 
stars19xma25ppv8ugwtvzpx5n5mde67ngazy4rdyas7,2,0, 1.368 
stars17k9ask02js28ahprtgrcgvtny5dnarhv27uk97,2,0, 1.368 
stars127e3eatrel4wrlgkg2kf4znggedv7qn5pvqd3w,2,0, 1.368 
stars1e79nn3q69ud5wvlmq07a3tnr4s4hnm8383n4hj,2,0, 1.368 
stars1kyaadchfqywh74cmdp4v32afytzxcr4jnmcev9,2,0, 1.368 
stars19e3lcuv452a99pthwapm56uqgj4jwc8757l3wq,2,0, 1.368 
stars1f205t3y08u7ew880wt2ywa2syjm50l6lv4wk7q,2,0, 1.368 
stars1at8axsjnjq2kdvapg9sf87zjde8rt9va09vrw8,2,0, 1.368 
stars15uf3lrf7zat7p8hcy6hkpzqzg2nuwn6sqp6h72,2,0, 1.368 
stars1kq59mcanz7zwqyllt669z3vv5pzen9wthjlqnq,2,0, 1.368 
stars1t83h6eg69qz67fchtt9w9tkpcju27w6p502m2e,2,0, 1.368 
stars1kwuwr5tp5j3tjv9wyxpwyk0z8ntctmakean33k,2,0, 1.368 
stars1yvvmkmyypxhsmyzmfc5xq8kflrjc604e5w790a,2,0, 1.368 
stars155gygt2awt09mczg5um5q4uxkvcvh7htxurlhn,2,0, 1.368 
stars1ql7apde38p938g93cpaqt6043ners28zp37tfu,2,0, 1.368 
stars1p77sfv0aefkxst0uuc5vvavuvp08jw3gww9ty8,2,0, 1.368 
stars1qyfhmkmphr9vsfjgrgvch65vklec3k5ycv7g7l,2,0, 1.368 
stars1gxhrcw73vyc40adznrtp3nugfcxsg66luwts5y,2,0, 1.368 
stars1secpmv4xu4c206kx0tw33a86qgls25haftgakv,2,0, 1.368 
stars1fuvcqj8uw8mkysptlfgjjshvn60jvmhr5s7stf,2,0, 1.368 
stars103verdnv4pzztty50ua7gs5gj25l2gwud4yz2f,2,0, 1.368 
stars18k5yh8nk2tkxygckx25qlw68uw7wush5sk3447,2,0, 1.368 
stars1vhyehvlgcrnw6hhqvtlx7wnj06zykrl5wmjee4,2,0, 1.368 
stars1veulyzm0h3gvswh2ham0d904p7r9jwz959ue9l,2,0, 1.368 
stars1qw86a0arjxqkjmwgcguh5dgnsfuldcm3fkmr77,2,0, 1.368 
stars1mp3knpf4yka3dk6fm6h3qprhet26x5exjlpest,1,0, 0.684 
stars107duet5hlzg48v8vxv6uq9k56rgua28f20ru2n,1,0, 0.684 
stars15qypa0nx5yn2jdvms26fcejra6axjdea6nyk4w,1,0, 0.684 
stars1yuar22tv0phd4yjq7tjz2peu8jvtzmfw0wknkm,1,0, 0.684 
stars12wn2hrsr56ej5fzyk9sfcwpulhyclrzg5vn06m,1,0, 0.684 
stars1kgc2pfavpt03kjpkw27znh3aag6z7840x8f5ys,1,0, 0.684 
stars1l9gy8cn0nzz5rp86xmdmn7rcq6w8vw9umcujgm,1,0, 0.684 
stars1yhfq4vg6dpqrnlmsn4lswre4h82lks4zz46n3z,1,0, 0.684 
stars15ae553j3er3mx6c08vnhvkv8k4e486pwq9htwy,1,0, 0.684 
stars1wuv9xss5vc35wmlf9v0c3dtknqq3n0q2jdtusx,1,0, 0.684 
stars1dsq074k5h7672fa2pqrjek06u8vw9az3k6ct58,1,0, 0.684 
stars1gwvu0yu2f73v3tks349j4242s9xez4eyvtqvlv,1,0, 0.684 
stars13yn736avqxrgr85hvntrqmya8g3zc3mz6u2pht,1,0, 0.684 
stars1ux2cshgv2g8a0lu9c4gepcgmqx025yuyy0hx03,1,0, 0.684 
stars1hzqwj0fj2fjf5wgtwfr6suy07xfud3ksdr5mqh,1,0, 0.684 
stars1nf3f77wnp425q8j2xq48u8at8ltv62k6rd7qdx,1,0, 0.684 
stars1rzqlze8gedwvw0tctxl2k9v4fx7lg6tc0453a5,1,0, 0.684 
stars167wxjvwsd2q005efqvxkgpg0sfqn58c34xnm30,1,0, 0.684 
stars106v0dgp92mwgerjph7aw84wwkutzuq4z093q8x,1,0, 0.684 
stars1tkntk2k7gaxj04slteyzt68vhvcl7ssez05dsf,1,0, 0.684 
stars1furkjfjyhsrx4zht4ps6f0r95uj4aevwxsxt9u,1,0, 0.684 
stars1cjve7k9qhumqjk0mhe7ckpx2npwn9z0y3750nf,1,0, 0.684 
stars1jmfnwmq9ga02klaavfkt7lvqhhd8amfzxxdczj,1,0, 0.684 
stars1y6603qh08ttze6vaqr3ucmclq4xxj88xx0xemy,1,0, 0.684 
stars1n2ywrr3987u02tglqk8p7s2jmtklmackxkpmfc,1,0, 0.684 
stars1nvpgw27cn6xpj90xqmwgpdpluj0hyy9xpfrsqc,1,0, 0.684 
stars1cyckh9490mjxsp8k4ufvn8442aech2qhu45vfq,1,0, 0.684 
stars12wkgg6kgwcat42682ch2r4fkc5s5y8y6gsypmv,1,0, 0.684 
stars1668tpadlrpuf00zkvqrsj3lx0s46lf8fqj55l5,1,0, 0.684 
stars17pylfdfy9cza4vmvwd8af6qx8alf8fyscvw53y,1,0, 0.684 
stars1w4gwdd5dxszkat9vk7qv6egmmj6jgrre0mfymj,1,0, 0.684 
stars1pa3j25d2xkth2htnes2pcj9tc70pky6sewq4q8,1,0, 0.684 
stars19gluru0gr389u62zyv20uxkhv9zaex6nf8xgwc,1,0, 0.684 
stars1rxg5pcxhfenqmyme6ngvvwnkvplfvjpu5g5223,1,0, 0.684 
stars1gva4w4j6um4p7t9msxknqqlxvqytm8pnzlves7,1,0, 0.684 
stars1y2quqwr4hms6zpdlapnfpclg4ucck9zth26670,1,0, 0.684 
stars14glxrtyya8s3evuqqsjvr76pdjexspt97w27ru,1,0, 0.684 
stars1w0gtue3n67frrmdtyymrcurafnzc2jsdqzejm6,1,0, 0.684 
stars1xc4ter7gj3t97780wp8a23ncnv74mhald5927x,1,0, 0.684 
stars1tkwlz65yp0c9l2zmcdawtepgvpmvgkaapcrmt7,1,0, 0.684 
stars1vkmfvyed4203jnwts0kty6ufxu9t2t8umy0ymz,1,0, 0.684 
stars1vhzt46har4ujm9tzj8suf5vlk8vlczjw5q6ga4,1,0, 0.684 
stars18qdunmm54tlw4um79p35cfz77c6dadc78vxu8u,1,0, 0.684 
stars1s85srfkevtxk5vs3fr520ucrtgf7e9k37n34te,1,0, 0.684 
stars1fmvxqxjsh85pjn0txeycku7qxcnnprfsu77a27,1,0, 0.684 
stars1huwcd2d0v42x5s3y72l0wa69sfd4al8nvsahy9,1,0, 0.684 
stars1jrwcry9jjgzzc5hn84u735r304uwwl3z6fx5hq,1,0, 0.684 
stars1qsp85ghzfq5af43veaa6vm8xglun0fx5t9ek9p,1,0, 0.684 
stars1efsj9hrsuhcu6lmamm544n7syfn58kd6m24ztk,1,0, 0.684 
stars17aj77rmqug878y3kceva493mcujj6w7pwh2xsk,1,0, 0.684 
stars14dy93awv3x3l222argjg22vlyutrwqqgcml4gp,1,0, 0.684 
stars1ae3y7ymqxtagskl5t95lu3kthpm23ydztzmts2,1,0, 0.684 
stars19g4h644j3z3dd98c0lg0xmjex8axerrgum8rel,1,0, 0.684 
stars1c2zunjn7ynp7qtz0xf5j83pmgl9vwrx85gy5qv,1,0, 0.684 
stars146m295jtgnxtyl9xhlpw8ma7kg4djvjrj7g862,1,0, 0.684 
stars1f8jew2r0gkpljapszkz92vrpcatcctkxek3zym,1,0, 0.684 
stars1sle7pxe2m4g0fphvrtyzvek3wqs2509faj4pvx,1,0, 0.684 
stars1a3sy3f509jclqc7k90g4tsujsr274c4jve959y,1,0, 0.684 
stars1s43g8xes662vgs43gmca9za3qrfv5ztr5mmp99,1,0, 0.684 
stars12vzg8cjkxgh8j07kmw0aulqqdqec7cdg6nuzct,1,0, 0.684 
stars1vss9v2rq0ggnnyn4ypu3dpu8djuuhveud2kqzx,1,0, 0.684 
stars1mh9aqxcs778ndnehnu7h0mzuem8pkms0t07vhf,1,0, 0.684 
stars1qwpxmmkwnjkyzpc4ttev2rxguu8l6v4eg6pf7s,1,0, 0.684 
stars1m7fp3yd2r5h2u4uu02m6nstceranss8vws75t9,1,0, 0.684 
stars1qzdaav8ezcp3ugxz7wwzqzg5xlfxvgy9ky6x2c,1,0, 0.684 
